Sample,time,power,scale
64X 1,2.2403,1475657.8834,2.1
64X 1,2.2883,344152.8923,1.7
64X 1,2.4443,761877.2794,2
64X 1,2.5003,53053.1818,2
64X 1,2.5563,2664.9913,2.4
64X 1,2.5963,2288384.4046,2.25
64X 1,2.6323,152313.1241,2.05
64X 1,2.7563,608358.7387,2.55
64X 1,2.7923,111633.6303,2.2
64X 1,2.9323,135703.706,2.05
64X 1,2.9643,184414.8131,1.95
64X 2,1.4723,124349.5745,1.6
64X 2,1.6763,235445.6887,1.85
64X 2,1.9163,347685.7305,2.85
64X 2,1.9603,255058.2697,2.9
64X 2,2.0043,728882.1066,2.45
64X 2,2.1523,148877.5165,1.6
64X 2,2.2283,138573.2502,1.85
64X 2,2.5083,614480.1779,1.55
64X 2,2.5563,332950.1803,1.95
64X 2,2.6243,248451.451,2.85
64X 2,2.6603,9206.0414,2.1
64X 2,2.8443,546805.4056,1.6
64X 2,2.8923,347857.2719,1.85
64X 3,1.6523,413944.286,2.2
64X 3,1.6963,5950.6771,1.85
64X 3,1.8003,60165.1302,2
64X 3,1.8363,573577.3079,2.85
64X 3,1.9163,253408.3584,1.6
64X 3,1.9563,80018.9473,2.05
64X 3,2.1603,133970.2736,2.1
64X 3,2.2243,1074652.8555,2.7
64X 3,2.2963,243923.5558,1.5
64X 3,2.3283,1405.6756,2
64X 3,2.3963,258264.3721,1.85
64X 3,2.4363,80369.1573,1.75
64X 3,2.5403,28916.5587,1.6
64X 3,2.5763,63098.7278,1.8
64X 3,2.7523,190092.8598,2.25
64X 3,2.8803,351956.0689,2.85
64X 3,2.9283,156133.6937,1.5
