Sample,time,power,scale
1X 1,0.7123,63254.8526,1.6
1X 1,0.7723,834412.3836,2.4
1X 1,0.8163,294281.4516,2.9
1X 1,0.8763,345398.3008,1.65
1X 1,0.9363,652017.5593,2.95
1X 1,0.9723,242424.4575,2.25
1X 1,1.0403,1157210.2361,2.35
1X 1,1.0883,8293769.7224,2.45
1X 1,1.1243,1181569.5374,1.65
1X 1,1.2163,281656.6919,1.7
1X 1,1.2643,6474037.5572,3
1X 1,1.3163,589883.9343,1.6
1X 1,1.3923,1627027.7441,1.55
1X 1,1.4763,2582821.821,1.6
1X 1,1.5163,878939.8382,2.75
1X 1,1.5683,8523834.7501,2.4
1X 1,1.6003,1630510.4929,1.55
1X 1,1.6403,1575962.733,3
1X 1,1.6883,10945494.6003,1.9
1X 1,1.7203,875827.2477,2.5
1X 1,1.7683,3086143.8668,1.55
1X 1,1.8323,628744.5737,2.1
1X 1,1.8723,507632.8175,2.3
1X 1,1.8963,11100749.5673,1.55
1X 1,1.9363,4283360.9029,1.65
1X 1,1.9843,403798.9502,1.5
1X 1,2.0323,2887687.4405,2.95
1X 1,2.0763,13300744.7502,2.25
1X 1,2.1363,13083510.0576,3
1X 1,2.1723,1046020.6223,1.5
1X 1,2.2083,1663946.4848,2.5
1X 1,2.2603,486997.2918,2.25
1X 1,2.2963,10311572.8152,2.65
1X 1,2.3323,418261.2452,1.9
1X 1,2.4483,1060380.1194,1.65
1X 1,2.4883,3242002.1781,1.7
1X 1,2.5283,6150632.8594,2.65
1X 1,2.5923,11636791.4867,1.55
1X 1,2.6323,17234233.9863,2.25
1X 1,2.6683,25568403.1235,2.1
1X 1,2.7043,203379.8975,1.55
1X 1,2.7563,2520398.2243,1.6
1X 1,2.8003,10324749.8106,1.9
1X 1,2.8443,416920.0711,1.55
1X 1,2.8763,888130.9562,1.5
1X 1,2.9323,1547099.9386,2.05
1X 1,2.9723,7377420.3161,1.75
1X 2,0.6443,937891.705,2.75
1X 2,0.7763,734832.615,2.95
1X 2,0.8323,64467.2485,1.7
1X 2,0.8723,694948.074,2.95
1X 2,0.9363,601842.0426,2.5
1X 2,0.9763,204020.8043,1.6
1X 2,1.0243,445168.6709,2.95
